Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code,Cuisine
vYLO6I4-xETxJc5to07GPw,Ten Hope,10 Hope St,"{'latitude': 40.713658, 'longitude': -73.957576}",72,4,11211,american
OOoua3Q6PfqtImv3DjdcWw,Parlay,4024 8th Ave,"{'latitude': 40.6464, 'longitude': -73.99862}",411,4.5,11232,american
nHMDOIX32dGbfpuNUwsLNQ,AlMar,111 Front St,"{'latitude': 40.702662, 'longitude': -73.989177}",446,4,11201,american
DhBhEWMVLDxYF14a1znUvA,Lighthouse,145 Borinquen Pl,"{'latitude': 40.7104080536563, 'longitude': -73.9539040490168}",265,4,11211,american
h9rymMeMUMOxQ9d93U0YDg,Baker & Co,259 Bleecker St,"{'latitude': 40.7313423, 'longitude': -74.0028996}",639,4,10014,american
bSdguSmgdkPBfmD0bPUYKg,Jane's Eatery,215-05 Northern Blvd,"{'latitude': 40.760835, 'longitude': -73.7673823535442}",309,4.5,11361,american
Rc1lxc5lSKJYd162JHNMfQ,Bea,403 W 43rd St,"{'latitude': 40.7591968, 'longitude': -73.9923361}",2494,4,10036,american
veku2cg2qaV-7MxwhOMBmg,Judge Roy Bean Public House,38 W 56th St,"{'latitude': 40.7629158108786, 'longitude': -73.9761248066812}",751,4.5,10019,american
TaCT9t5HoJVzCAVFIRL-NA,Sugar N Coal,63-12 Broadway,"{'latitude': 40.7496289, 'longitude': -73.8988583}",66,4.5,11377,american
OiSjFh06dsNonI0cPXMSOw,Bondurants,303 E 85th St,"{'latitude': 40.777292, 'longitude': -73.951854}",470,4,10028,american
ykXZyQBXxoOMoZfaZMnHmg,Tryon Public House,4740 Broadway,"{'latitude': 40.8649821372469, 'longitude': -73.927843119049}",390,4,10040,american
Orbsfc3nI21mQ8cwSPahhg,The Four Horsemen,295 Grand St,"{'latitude': 40.71305, 'longitude': -73.95732}",189,4.5,11211,american
2iW5TU4W0BN8LYBzVmO9Qw,The Honey Well,3604 Broadway,"{'latitude': 40.82849, 'longitude': -73.94862}",220,4.5,10031,american
