Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code,Cuisine
Dqu-5RxNbbpBsL1Ssht9Ng,Hunan Slurp,112 1st Ave,"{'latitude': 40.72669, 'longitude': -73.98563}",222,4,10009,chinese
chinese,,,,,,,
gtEnSb_JU_zAtdv3WL7Fug,New York Bo Ky Restaurant,94 Baxter St,"{'latitude': 40.717093, 'longitude': -73.9997243508697}",16,5,10013,chinese
chinese,,,,,,,
83ZcxzvtHX2PmsH_wPReOw,Grand Sichuan House,8701 5th Ave,"{'latitude': 40.62075, 'longitude': -74.02668}",233,4,11209,chinese
chinese,,,,,,,
5tWpAFpF618KJxBhHJzF7g,E Noodle 粥麵館 - Chinatown,5 Catherine St,"{'latitude': 40.71379, 'longitude': -73.99731}",98,4,10038,chinese
chinese,,,,,,,
oD0mN9vXuc1gFRyw1CG-Pw,New China Wok Chinese Kitchen,57 4th Ave,"{'latitude': 40.68257, 'longitude': -73.97927}",27,4,11217,chinese
chinese,,,,,,,
Jr8S-deYDqbDoo-eJI7nyg,Empire Szechuan Garden,4342 46th St,"{'latitude': 40.7442226, 'longitude': -73.9186565}",50,3.5,11104,chinese
chinese,,,,,,,
IhSVn0TaX8xXb3wcQ-fgcA,Vanessa's Dumpling House,118A Eldridge St,"{'latitude': 40.71839, 'longitude': -73.9917399}",2661,4,10002,chinese
chinese,,,,,,,
-6KT1D508e6zvqHJvv4r2Q,New Lin Wang Restaurant,9417 Ave L,"{'latitude': 40.63772, 'longitude': -73.897255}",8,3.5,11236,chinese
chinese,,,,,,,
RoPrfBqmRTqw_cBqcWAfYA,Dim Sum Bar,167 Grand St,"{'latitude': 40.714735, 'longitude': -73.961346}",198,4,11249,chinese
chinese,,,,,,,
7ZQSMqWzvXMSetXnii2fBg,Excellent Dumpling House,165 W 23rd St,"{'latitude': 40.7440494396358, 'longitude': -73.995028194335}",644,4,10011,chinese
chinese,,,,,,,
XzMVQtnifzlFoq6Uj4795g,A Shen Zhou Restaurant,159 Wilson Ave,"{'latitude': 40.70026, 'longitude': -73.92469}",62,3.5,11237,chinese
chinese,,,,,,,
GmtybiZEicQ4qqPTzhqVew,Taste of China,7100 Grand Ave,"{'latitude': 40.72762, 'longitude': -73.892011}",73,3.5,11378,chinese
chinese,,,,,,,
YoGcGxo9JxE7NtmMtPaNng,Golden Wok,4218 43rd Ave,"{'latitude': 40.745129, 'longitude': -73.921549}",47,3,11104,chinese
chinese,,,,,,,
BbODF2tZuw4xW_RFwMzwRg,Jiangnan Chinese Cuisine,103 Washington St,"{'latitude': 40.7084231394503, 'longitude': -74.0140241895666}",53,3.5,10006,chinese
chinese,,,,,,,
lKxmH-hQ6ezKbq4URKrd-Q,May Wah Fast Food,190 Hester St,"{'latitude': 40.71825, 'longitude': -73.99842}",354,4,10013,chinese
chinese,,,,,,,
